id,code,name,type,user_type:id,parent_id:id,reconcile,chart_template_id:id
seg_company,0,Your Company1,view,l10n_seg.user_type_view,,FALSE,l10n_seg.singapore_account_chart_template
seg_bs,1,Balance Sheet,view,l10n_seg.user_type_view,seg_company,FALSE,l10n_seg.singapore_account_chart_template
asset,11,Assets,view,l10n_seg.user_type_current_asset,seg_bs,FALSE,l10n_seg.singapore_account_chart_template
current_asset,110,Current Assets,view,l10n_seg.user_type_current_asset,asset,FALSE,l10n_seg.singapore_account_chart_template
cash,1101,Cash,view,l10n_seg.user_type_cash,current_asset,FALSE,l10n_seg.singapore_account_chart_template
110100,110100,Petty Cash SGD,liquidity,l10n_seg.user_type_cash,cash,FALSE,l10n_seg.singapore_account_chart_template
110101,110101,Petty Cash USD,liquidity,l10n_seg.user_type_cash,cash,FALSE,l10n_seg.singapore_account_chart_template
bank,1102,Banks,view,l10n_seg.user_type_bank,current_asset,FALSE,l10n_seg.singapore_account_chart_template
110201,110201,Bank SGD Account,payable,l10n_seg.user_type_bank,bank,FALSE,l10n_seg.singapore_account_chart_template
110202,110202,Bank USD Account,payable,l10n_seg.user_type_bank,bank,FALSE,l10n_seg.singapore_account_chart_template
acc_receive,1105,Accounts Receivable,view,l10n_seg.user_type_account_receivable,current_asset,FALSE,l10n_seg.singapore_account_chart_template
110501,110501,Trade Debtors,receivable,l10n_seg.user_type_account_receivable,acc_receive,FALSE,l10n_seg.singapore_account_chart_template
110502,110502,Other Debtors,receivable,l10n_seg.user_type_account_receivable,acc_receive,FALSE,l10n_seg.singapore_account_chart_template
stock_inventory,1107,Stock Inventory,view,l10n_seg.user_type_view,current_asset,FALSE,l10n_seg.singapore_account_chart_template
110701,110701,Stock  ,other,l10n_seg.user_type_current_asset,stock_inventory,FALSE,l10n_seg.singapore_account_chart_template
110702,110702,Changes in Stock,other,l10n_seg.user_type_current_asset,stock_inventory,FALSE,l10n_seg.singapore_account_chart_template
110703,110703,Provision for Stock,other,l10n_seg.user_type_current_asset,stock_inventory,FALSE,l10n_seg.singapore_account_chart_template
other_asset,1108,Other Assets,view,l10n_seg.user_type_view,current_asset,FALSE,l10n_seg.singapore_account_chart_template
110801,110801,Prepayments,other,l10n_seg.user_type_current_asset,other_asset,FALSE,l10n_seg.singapore_account_chart_template
110802,110802,Sundry Deposits,other,l10n_seg.user_type_current_asset,other_asset,FALSE,l10n_seg.singapore_account_chart_template
fixed_asset,120,Fixed Assets,view,l10n_seg.user_type_view,asset,FALSE,l10n_seg.singapore_account_chart_template
motor_vehicles,1201,Motor Vehicles,view,l10n_seg.user_type_view,fixed_asset,FALSE,l10n_seg.singapore_account_chart_template
120101,120101,Motor Vehicles - Cost,other,l10n_seg.user_type_current_asset,motor_vehicles,FALSE,l10n_seg.singapore_account_chart_template
120102,120102,Accd Depn - MV,other,l10n_seg.user_type_current_asset,motor_vehicles,FALSE,l10n_seg.singapore_account_chart_template
furniture_fitting,1202,Furniture & Fittings,view,l10n_seg.user_type_current_asset,fixed_asset,FALSE,l10n_seg.singapore_account_chart_template
120201,120201,Furniture & Fittings - Cost,other,l10n_seg.user_type_current_asset,furniture_fitting,FALSE,l10n_seg.singapore_account_chart_template
120202,120202,Accd Depn - F&F,other,l10n_seg.user_type_current_asset,furniture_fitting,FALSE,l10n_seg.singapore_account_chart_template
office_equipments,1203,Office Equipments,view,l10n_seg.user_type_view,fixed_asset,FALSE,l10n_seg.singapore_account_chart_template
120301,120301,Office Equipments - Cost,other,l10n_seg.user_type_current_asset,office_equipments,FALSE,l10n_seg.singapore_account_chart_template
120302,120302,Accd Depn - Office Equip,other,l10n_seg.user_type_current_asset,office_equipments,FALSE,l10n_seg.singapore_account_chart_template
liabilities,21,Liabilities,view,l10n_seg.user_type_view,seg_bs,FALSE,l10n_seg.singapore_account_chart_template
