"id","name","child_ids/id","employee_ids/id","parent_id/id"
"__export__.hr_employee_category_1","Executive","","",""
"__export__.hr_employee_category_2","Office Employees","","",""
"__export__.hr_employee_category_3","WH-D","","",""
"__export__.hr_employee_category_4","WH-G","","",""
"__export__.hr_employee_category_5","FCFT","","",""
"__export__.hr_employee_category_6","BAFT","","",""
"__export__.hr_employee_category_7","FCPT","","",""
"__export__.hr_employee_category_8","BAPT","","",""
"__export__.hr_employee_category_17","PR","","",""
"__export__.hr_employee_category_18","Singapore Citizen","","",""
"__export__.hr_employee_category_19","S Pass","","",""
"__export__.hr_employee_category_20","E Pass","","",""
"__export__.hr_employee_category_21","Work Permit","","",""
"__export__.hr_employee_category_22","PBP","","",""
"__export__.hr_employee_category_23","jas","","",""
