id,hr_salary_rule_glcode_ids/id,active,amount_select,appears_on_payslip,category_id/id,child_ids/id,code,company_id/id,condition_select,register_id/id,note,amount_fix,input_ids/id,condition_range_max,condition_range_min,name,parent_rule_id/id,amount_percentage,amount_percentage_base,amount_python_compute,condition_python,quantity,condition_range,sequence
hr_payroll.hr_rule_basic,,True,Python Code,True,hr_payroll.BASIC,,BASIC,base.main_company,Always True,__export__.hr_contribution_register_12,,,,,,Basic,,,,result = contract.wage, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,1
hr_payroll.hr_rule_taxable,,True,Python Code,True,hr_payroll.GROSS,,GROSS,base.main_company,Always True,,,,,,,Gross,,,,result = categories.BASIC + categories.ADD - categories.DED_INCL_CPF, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,300
__export__.hr_salary_rule_42,,True,Python Code,True,hr_payroll.NET,,NET,base.main_company,Always True,,,,,,,Net,,,,result = categories.GROSS - categories.DED - categories.CAT_CPF_EMPLOYEE - categories. CATCPFAGENCYSERVICESEE, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,500
__export__.hr_salary_rule_45,,True,Python Code,True,__export__.hr_salary_rule_category_7,,SC102,base.main_company,Always True,,,,,,,Over Time (1.5),,,,b = ((categories.BASIC - SC48) *12 / 2288 * 1.5) result = ((b).__trunc__() + (((b % 1) * 100 ).__trunc__()) * 0.01) * inputs.SC102I.amount, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,102
__export__.hr_salary_rule_46,,True,Python Code,True,hr_payroll.BASIC,,SC100,base.main_company,Always True,,,,,,,Part Timer Wage,,,,result = ((contract.wage * (inputs.SC100I.amount or 1)) - contract.wage), # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,100
__export__.hr_salary_rule_47,,True,Python Code,True,__export__.hr_salary_rule_category_7,,SC104,base.main_company,Always True,,,,,,,Commission,,,,result = inputs.SC104I.amount  + payslip.ppd_commission_amount, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,104
__export__.hr_salary_rule_48,,True,Python Code,True,__export__.hr_salary_rule_category_7,,SC105,base.main_company,Always True,,,,,,,Incentive,,,,result = inputs.SC105I.amount  + payslip.ppd_commission_amount, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,105
__export__.hr_salary_rule_49,,True,Python Code,True,__export__.hr_salary_rule_category_7,,SC122,base.main_company,Always True,,,,,,,Others,,,,result = inputs.SC122I.amount, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,122
__export__.hr_salary_rule_50,,True,Python Code,True,__export__.hr_salary_rule_category_19,,SC200,base.main_company,Always True,,,,,,,Undertime,,,,result = ((categories.BASIC - SC48) * 12 / 2288 * inputs.SC200I.amount), # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,200
__export__.hr_salary_rule_51,,True,Python Code,True,__export__.hr_salary_rule_category_8,,SC201,base.main_company,Always True,,,,,,,ADJ To Comm,,,,result = inputs.SC201I.amount, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,201
