id,apply_bank_cheque,emp_categ_id/id,register_id/id,salaryrule_id/id,gl_code_id/id,nagative,saved_back_cpf,saved_back_salary
__export__.hr_salary_rule_glcode_9,,__export__.hr_employee_category_8,,hr_salary_rule_cpfemployeesprsingaporean0,__export__.salary_report_for_exchequer_glcode_3,False,True,True
__export__.hr_salary_rule_glcode_10,,__export__.hr_employee_category_4,,hr_salary_rule_cpfemployeesprsingaporean0,__export__.salary_report_for_exchequer_glcode_5,False,True,True
__export__.hr_salary_rule_glcode_11,,__export__.hr_employee_category_3,,hr_salary_rule_cpfemployeesprsingaporean0,__export__.salary_report_for_exchequer_glcode_5,False,True,True
__export__.hr_salary_rule_glcode_12,,__export__.hr_employee_category_6,,hr_salary_rule_cpfemployeesprsingaporean0,__export__.salary_report_for_exchequer_glcode_4,False,True,True
__export__.hr_salary_rule_glcode_13,,__export__.hr_employee_category_8,,hr_salary_rule_cpfemployersprsingaporean0,__export__.salary_report_for_exchequer_glcode_3,False,True,True
__export__.hr_salary_rule_glcode_14,,__export__.hr_employee_category_3,,hr_salary_rule_cpfemployersprsingaporean0,__export__.salary_report_for_exchequer_glcode_5,False,True,True
__export__.hr_salary_rule_glcode_15,,__export__.hr_employee_category_4,,hr_salary_rule_cpfemployersprsingaporean0,__export__.salary_report_for_exchequer_glcode_5,False,True,True
__export__.hr_salary_rule_glcode_16,,__export__.hr_employee_category_6,,hr_salary_rule_cpfemployersprsingaporean0,__export__.salary_report_for_exchequer_glcode_4,False,True,True
__export__.hr_salary_rule_glcode_17,,__export__.hr_employee_category_4,__export__.hr_contribution_register_10,,__export__.salary_report_for_exchequer_glcode_6,False,True,True
__export__.hr_salary_rule_glcode_18,,__export__.hr_employee_category_3,__export__.hr_contribution_register_10,,__export__.salary_report_for_exchequer_glcode_6,False,True,True
__export__.hr_salary_rule_glcode_19,,__export__.hr_employee_category_8,__export__.hr_contribution_register_10,,__export__.salary_report_for_exchequer_glcode_6,False,True,True
__export__.hr_salary_rule_glcode_20,,__export__.hr_employee_category_6,__export__.hr_contribution_register_10,,__export__.salary_report_for_exchequer_glcode_6,False,True,True
__export__.hr_salary_rule_glcode_21,,__export__.hr_employee_category_6,,hr_salary_rule_cpfsdl0,__export__.salary_report_for_exchequer_glcode_10,False,True,False
__export__.hr_salary_rule_glcode_22,,__export__.hr_employee_category_8,,hr_salary_rule_cpfsdl0,__export__.salary_report_for_exchequer_glcode_9,False,True,False
__export__.hr_salary_rule_glcode_23,,__export__.hr_employee_category_4,,hr_salary_rule_cpfsdl0,__export__.salary_report_for_exchequer_glcode_8,False,True,False
__export__.hr_salary_rule_glcode_24,,__export__.hr_employee_category_3,,hr_salary_rule_cpfsdl0,__export__.salary_report_for_exchequer_glcode_8,False,True,False
__export__.hr_salary_rule_glcode_25,,__export__.hr_employee_category_6,,hr_salary_rule_fwlspass0,__export__.salary_report_for_exchequer_glcode_12,False,True,False
__export__.hr_salary_rule_glcode_26,,__export__.hr_employee_category_4,,hr_salary_rule_fwlspass0,__export__.salary_report_for_exchequer_glcode_11,False,True,False
__export__.hr_salary_rule_glcode_27,,__export__.hr_employee_category_3,,hr_salary_rule_fwlspass0,__export__.salary_report_for_exchequer_glcode_11,False,True,False
__export__.hr_salary_rule_glcode_28,,__export__.hr_employee_category_4,,hr_salary_rule_fwlworkpermit0,__export__.salary_report_for_exchequer_glcode_11,False,True,False
__export__.hr_salary_rule_glcode_29,,__export__.hr_employee_category_3,,hr_salary_rule_fwlworkpermit0,__export__.salary_report_for_exchequer_glcode_11,False,True,False
__export__.hr_salary_rule_glcode_30,,__export__.hr_employee_category_6,,hr_salary_rule_fwlworkpermit0,__export__.salary_report_for_exchequer_glcode_12,False,True,False
__export__.hr_salary_rule_glcode_31,,__export__.hr_employee_category_6,,hr_salary_rule_overtime0,__export__.salary_report_for_exchequer_glcode_13,False,False,True
