id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hr_manger_resource_calendar_attendance,resource.calendar.attendance,resource.model_resource_calendar_attendance,base.group_hr_manager,1,1,1,1
access_hr_payroll_admin_resource_calendar_attendance,resource.calendar.attendance,resource.model_resource_calendar_attendance,group_hr_payroll_admin,1,1,1,1
access_hr_payslip_manager,hr.payroll,hr_payroll.model_hr_payslip,group_hr_payroll_admin,1,1,1,1
access_hr_payslip_run_user,hr.payroll,hr_payroll.model_hr_payslip_run,group_hr_payroll_admin,1,1,1,1
access_upload_xls_wiz_user,upload.xls.wiz,model_upload_xls_wiz,group_hr_payroll_admin,1,1,1,1
access_upload_xls_account_period,account.period,account.model_account_period,group_hr_payroll_admin,1,1,1,1

access_cpf_rule_text_file_employee,cpf.rule.text.file,model_cpf_rule_text_file,base.group_user,1,1,1,1
access_payroll_generic_summary_wizard_employee,payroll.generic.summary.wizard,model_payroll_generic_summary_wizard,base.group_user,1,1,1,1
access_payroll_summary_wizard_employee,payroll.summary.wizard,model_payroll_summary_wizard,base.group_user,1,1,1,1
access_payslip_sample_wiz_employee,payslip.sample.wiz,model_payslip_sample_wiz,base.group_user,1,1,1,1
access_view_bank_summary_report_wizard_employee,view.bank.summary.report.wizard,model_view_bank_summary_report_wizard,base.group_user,1,1,1,1
access_view_cheque_summary_report_wizard_employee,view.cheque.summary.report.wizard,model_view_cheque_summary_report_wizard,base.group_user,1,1,1,1

access_hr_payroll_admin_res_partner_address,res.partner.address,base.model_res_partner_address,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_resource_calendar_leaves,resource_calendar_leaves_manager,hr_holidays.model_resource_calendar_leaves,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_hr_recruitment_report,hr.recruitment.report,hr_recruitment.model_hr_recruitment_report,group_hr_payroll_admin,1,1,1,1
access_hr_payroll_admin_hr_applicant,hr.applicant,hr_recruitment.model_hr_applicant,group_hr_payroll_admin,1,1,1,1
